,comp,region_idx,diff,tstat,pvalue,signif
86,0,9,early_learning_2_late_learning,1.4588904935311775,0.1486106394765425,0
91,0,10,baseline_2_early_learning,0.6077835651354393,0.5450965979597249,0
92,0,10,baseline_2_late_learning,2.71901885093489,0.008066812006263658,1
95,0,10,early_learning_2_late_learning,1.800759207257624,0.07560625016358785,0
100,0,11,baseline_2_early_learning,-0.5692242410708969,0.5708395568877266,0
101,0,11,baseline_2_late_learning,0.857215165612471,0.39395213594585365,0
104,0,11,early_learning_2_late_learning,1.459225807328873,0.14851857877556168,0
109,0,12,baseline_2_early_learning,0.3591595216019359,0.7204462029555647,0
110,0,12,baseline_2_late_learning,1.835060556537473,0.07030894500547745,0
113,0,12,early_learning_2_late_learning,1.2984428129552297,0.1979611455755748,0
118,0,13,baseline_2_early_learning,1.7584843593079225,0.08258750693173916,0
119,0,13,baseline_2_late_learning,1.2036011440694139,0.23238394586083524,0
122,0,13,early_learning_2_late_learning,-0.5777067868745898,0.565126107803914,0
127,0,14,baseline_2_early_learning,-0.5674775307457175,0.5720195321725408,0
128,0,14,baseline_2_late_learning,-0.2411186224282575,0.8100958776573135,0
131,0,14,early_learning_2_late_learning,0.3213660688572108,0.7487925576807284,0
136,0,15,baseline_2_early_learning,0.5202883493226659,0.604336296009849,0
137,0,15,baseline_2_late_learning,0.14009446295512376,0.8889464895957053,0
140,0,15,early_learning_2_late_learning,-0.3550949303118113,0.7234768660940263,0
